text,sentiment,text_length,positive_score,negative_score,entity_count,adj_ratio,verb_ratio,noun_ratio,negation_flag
last session of the day,1,23,0.0,0.0,1,0.2,0.0,0.4,0
shanghai is also really exciting precisely  skyscrapers galore good tweeps in china  sh  bj,2,91,6.0,0.0,2,0.1176470588235294,0.1176470588235294,0.1176470588235294,0
recession hit veronique branquinho she has to quit her company such a shame,0,75,0.0,4.0,0,0.0,0.2307692307692307,0.3076923076923077,0
happy bday,2,10,3.0,0.0,0,0.5,0.0,0.0,0
i like it,2,9,2.0,0.0,0,0.0,0.3333333333333333,0.0,0
thats great weee visitors,2,25,3.0,0.0,0,0.2,0.2,0.4,0
i think everyone hates me on here   lol,0,39,0.0,0.0,0,0.1111111111111111,0.2222222222222222,0.0,0
soooooo wish i could but im in school and myspace is completely blocked,0,71,0.0,0.0,1,0.0,0.2142857142857142,0.2142857142857142,0
and within a short time of the last clue all of them,1,52,0.0,0.0,0,0.1666666666666666,0.0,0.1666666666666666,0
what did you get  my day is alright havent done anything yet leaving soon to my stepsister though,1,97,0.0,0.0,0,0.05,0.15,0.1,1
my bike was put on holdshould have known that argh total bummer,0,63,0.0,2.0,0,0.0,0.1666666666666666,0.1666666666666666,0
i checked  we didnt win,1,23,4.0,0.0,0,0.0,0.2857142857142857,0.0,1
and youre on twitter did the tavern bore you that much,1,54,0.0,2.0,0,0.0833333333333333,0.1666666666666666,0.1666666666666666,0
im in va for the weekend my youngest son turns  tomorrowit makes me kinda sad he is getting so big check out my twipics,0,119,0.0,1.0,2,0.1153846153846153,0.1923076923076923,0.1538461538461538,0
its coming out the socket  i feel like my phones hole is not a virgin thats how loose it is,0,91,0.0,1.0,0,0.0454545454545454,0.1363636363636363,0.1818181818181818,1
so hot today _  dont like it and i hate my new timetable having such a bad week,0,79,0.0,8.0,2,0.15,0.15,0.15,1
miss you,0,8,0.0,2.0,0,0.0,0.5,0.0,0
cramps,0,6,0.0,0.0,0,0.0,0.0,1.0,0
you guys didnt say hi or answer my questions yesterday  but nice songs,2,70,3.0,0.0,1,0.0666666666666666,0.1333333333333333,0.2666666666666666,1
im going into a spiritual stagnentation its exploding my ego i now realise im not all that great and im ok with that,1,116,3.0,0.0,0,0.1153846153846153,0.1923076923076923,0.0769230769230769,1
stupid storm no river for us tonight,0,36,0.0,3.0,1,0.1428571428571428,0.0,0.4285714285714285,0
